,cnpj,raiz_cnpj,matriz_filial,razao_social,opcao_pelo_simples,capital_social,bairro,municipio
93,5138645000109,5138645,MATRIZ,M2A TECNOLOGIA E GESTAO DA INFORMACAO - EIRELI,NAO,67800,REBOUCAS,CURITIBA
95,5159145000153,5159145,MATRIZ,"IDDEIA COMERCIO, LOCACAO E SOLUCOES TECNOLOGICAS EIRELI",NAO,4500000,CENTRO,CURITIBA
103,5422311000162,5422311,MATRIZ,KAIZENDO SOLUCOES E SISTEMAS PARA MELHORIA LTDA,SIM,240000,PILARZINHO,CURITIBA
104,5448669000164,5448669,MATRIZ,MAURICIO RIBEIRO INFORMATICA LTDA,SIM,100000,CENTRO CIVICO,CURITIBA
109,5546793000162,5546793,MATRIZ,GO ON CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,NAO,600000,AGUA VERDE,CURITIBA
112,5617100000185,5617100,MATRIZ,"BUNDT CONSULTORIA, EDUCACAO & PARTICIPACOES LTDA",NAO,30000,BOQUEIRAO,CURITIBA
115,5809591000166,5809591,MATRIZ,BR CAPTURA - EMPRESA BRASILEIRA DE REDE DE CAPTURA S.A,NAO,200000,CAMPO COMPRIDO,CURITIBA
117,5895166000137,5895166,MATRIZ,FSK INFORMATICA LTDA,NAO,20000,REBOUCAS,CURITIBA
118,5906225000125,5906225,MATRIZ,AUDARE INFORMATICA SS LTDA,NAO,210000,GLEBA FAZENDA PALHANO,LONDRINA
125,6153856000183,6153856,MATRIZ,ISOLVE - SOLUCOES EM INFORMATICA LTDA,SIM,15000,ALTO DA GLORIA,CURITIBA
126,6185897000151,6185897,MATRIZ,ATGMASTERS LTDA,NAO,10000,BAIRRO ALTO,CURITIBA
128,6290671000110,6290671,MATRIZ,AMBIENTE LIVRE ASSESSORIA EM SISTEMAS DE INFORMATICA LTDA,SIM,120000,CRISTO REI,CURITIBA
139,7208334000102,7208334,MATRIZ,MERCADO DOS SONHOS LTDA,NAO,10000,BIGORRILHO,CURITIBA
142,7591060000175,7591060,MATRIZ,4RESULTS LTDA,NAO,580000,PRADO VELHO,CURITIBA
143,7592315000114,7592315,MATRIZ,NTT DATA BUSINESS SOLUTIONS - SERVICOS DE TECNOLOGIA LTDA,NAO,1434000,CENTRO,CURITIBA
152,7941604000181,7941604,MATRIZ,MFC INFORMATICA LTDA,NAO,10000,XAXIM,CURITIBA
165,8671358000158,8671358,MATRIZ,DIGITAL UP - TECNOLOGIA EM SISTEMAS LTDA,SIM,500000,BIGORRILHO,CURITIBA
170,8765613000121,8765613,MATRIZ,SOLUTTIONS - SOLUCAO EM TECNOLOGIA LTDA,NAO,481000,AGUA VERDE,CURITIBA
175,9008823000138,9008823,MATRIZ,FTI TECNOLOGIA DA INFORMACAO LTDA,NAO,10000,CENTRO,LONDRINA
177,9044119000130,9044119,MATRIZ,AVA TECNOLOGIA LTDA,SIM,100000,BATEL,CURITIBA
178,9052375000170,9052375,MATRIZ,E-NET COMERCIO DE PRODUTOS E SERVICOS DE INFORMATICA LTDA,NAO,10000,TARUMA,CURITIBA
183,9254750000164,9254750,MATRIZ,EASYBYTE INFORMATICA LTDA.,SIM,30000,CENTRO,CURITIBA
185,9276674000198,9276674,MATRIZ,EASYONE CONSULTORIA LTDA,NAO,70000,BOM RETIRO,CURITIBA
190,9401653000157,9401653,MATRIZ,R.J.D. CONSULTORIA E TECNOLOGIA PARA NEGOCIOS LTDA,NAO,16666,BOM RETIRO,CURITIBA
191,9416343000106,9416343,MATRIZ,L. F. KASPRIK TECNOLOGIA DA INFORMACAO EIRELI,SIM,100000,CAJURU,CURITIBA
192,9451699000180,9451699,MATRIZ,CONVISO APPLICATION SECURITY S/A,NAO,200000,JUVEVE,CURITIBA
195,9653351000176,9653351,MATRIZ,JAMIL ALVES FONSECA,NAO,10000,MOSSUNGUE,CURITIBA
207,10358880000126,10358880,MATRIZ,SERCOMPE SOLUCOES CORPORATIVAS E TECNOLOGICAS LTDA,NAO,10000,SAO FRANCISCO,CURITIBA
211,10414615000118,10414615,MATRIZ,SPRO CONSULTORIA E INFORMATICA LTDA,NAO,1000000,REBOUCAS,CURITIBA
214,10468447000143,10468447,MATRIZ,PRIME CONTROL CONSULTORIA LTDA,NAO,3091190,BATEL,CURITIBA
221,10570173000107,10570173,MATRIZ,POLARIS PARTICIPACOES SOCIETARIAS LTDA,NAO,2250000,BOM RETIRO,CURITIBA
224,10657602000170,10657602,MATRIZ,CONTE SERVICOS DE INFORMATICA LTDA.,NAO,10000,NOVO MUNDO,CURITIBA
227,10732355000129,10732355,MATRIZ,PETRIKOR DESIGN GRAFICO LTDA,SIM,30000,GLEBA FAZENDA PALHANO,LONDRINA
237,11038137000151,11038137,MATRIZ,GODZ GOVERNANCA E CONSULTORIA EMPRESARIAL LTDA,SIM,84400,SANTO INACIO,CURITIBA
255,11738958000109,11738958,MATRIZ,DANIEL APARECIDO DE TOLEDO VIANA,SIM,10000,CAMPO COMPRIDO,CURITIBA
257,11902187000135,11902187,MATRIZ,INLINUX INFORMATICA LTDA,NAO,10000,XAXIM,CURITIBA
258,11958556000101,11958556,MATRIZ,ASK CONSULTORIA E SISTEMAS LTDA,NAO,20000,BOA VISTA,CURITIBA
262,12330337000146,12330337,MATRIZ,BEMACHI SORTEMOBIL SERVICOS DE INFORMATICA LTDA.,NAO,1200000,CENTRO,CURITIBA
267,12803041000103,12803041,MATRIZ,IXS TECNOLOGIA DA INFORMACAO LTDA,NAO,7625,CABRAL,CURITIBA
269,12957904000199,12957904,MATRIZ,ZERO OU UM NEGOCIOS DIGITAIS LTDA,SIM,40000,CENTRO,CURITIBA
280,13976120000170,13976120,MATRIZ,LAPORTE CONSULTORIA EM TECNOLOGIA DA INFORMACAO EIRELI,NAO,78800,BIGORRILHO,CURITIBA
281,13994051000128,13994051,MATRIZ,GOLIVE CONSULTORIA LTDA,SIM,13500,MERCES,CURITIBA
285,14147860000167,14147860,MATRIZ,HADAS SERVICOS DE CONSULTORIA EM INFORMATICA LTDA,NAO,10000,PILARZINHO,CURITIBA
290,14513770000142,14513770,MATRIZ,RED COMMERCE CONSULTORIA E RECRUTAMENTO LTDA,NAO,1246300,CENTRO CIVICO,CURITIBA
294,14699691000178,14699691,MATRIZ,RETAIL CONSULT KSR - SOLUCOES PARA VAREJO LTDA,NAO,155690,CABRAL,CURITIBA
312,16584899000177,16584899,MATRIZ,SMART SKY SERVICOS LTDA,NAO,20000,JARDIM BOTANICO,CURITIBA
314,16800966000143,16800966,MATRIZ,RIC MAIS PARANA LTDA.,NAO,1160000,PILARZINHO,CURITIBA
327,17915726000157,17915726,MATRIZ,SMARTI CONSULTORIA E SERVICOS DE TI LTDA,SIM,12000,BATEL,CURITIBA
329,17949442000181,17949442,MATRIZ,MALGUEIRO SERVICOS EM TECNOLOGIA DA INFORMACAO LTDA,SIM,10000,SAO FRANCISCO,CURITIBA
330,18173795000103,18173795,MATRIZ,TEXVN INFORMATICA - EIRELI,SIM,70000,HUGO LANGE,CURITIBA
339,19122334000166,19122334,MATRIZ,MIDIA CLASS EDITORA LTDA,SIM,10000,CENTRO,CURITIBA
341,19301105000109,19301105,MATRIZ,IMPLEMENTTI TECNOLOGIA EIRELI,SIM,95400,CENTRO,CURITIBA
356,20980996000156,20980996,MATRIZ,SMA IT SOLUTIONS LTDA,NAO,20000,REBOUCAS,CURITIBA
357,21295146000181,21295146,MATRIZ,FLM TECNOLOGIA EIRELI,SIM,100000,HAUER,CURITIBA
358,21388085000105,21388085,MATRIZ,FELICIO CONSULTORIA EIRELI,SIM,98000,REBOUCAS,CURITIBA
361,21505378000117,21505378,MATRIZ,BRID CONSULTORIA E SOLUCOES LTDA,NAO,500000,IPANEMA,LONDRINA
364,21682068000178,21682068,MATRIZ,QEXPERT CONSULTORIA EM BUSINESS INTELLIGENCE LTDA.,NAO,45000,PRADO VELHO,CURITIBA
366,21812398000130,21812398,MATRIZ,MRJP CONSULTORIA EM INFORMATICA S/A,NAO,30000,BATEL,CURITIBA
367,21884232000120,21884232,MATRIZ,NIMBUS NETWORK TECNOLOGIA DA INFORMACAO LTDA,SIM,30000,AGUA VERDE,CURITIBA
379,22516315000129,22516315,MATRIZ,EGROUP CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,NAO,15000,SAO FRANCISCO,CURITIBA
381,22778608000184,22778608,MATRIZ,NEXITERA CONSULTORIA E SOLUCOES EM TI SA.,NAO,7600691,VILA IZABEL,CURITIBA
387,23244090000161,23244090,MATRIZ,THEKLA CONSULTORIA DE SISTEMAS EIRELI,SIM,80000,UBERABA,CURITIBA
389,23450854000175,23450854,MATRIZ,WS TECH - SOLUCOES EM T I EIRELI,SIM,115000,CAJURU,CURITIBA
398,24196301000109,24196301,MATRIZ,TRIXX SERVICOS DE INFORMACAO LTDA,NAO,10000,CENTRO,CURITIBA
405,24586847000168,24586847,MATRIZ,PIXELWOLF CONSULTORIA EM TECNOLOGIA LTDA,NAO,20000,VILA IZABEL,CURITIBA
407,24642438000131,24642438,MATRIZ,ALF CONSULTORIA LTDA,NAO,15000,BATEL,CURITIBA
410,24762992000152,24762992,MATRIZ,DECOSTORE INFORMACAO E TECNOLOGIA LTDA.,SIM,100000,BATEL,CURITIBA
412,25239083000105,25239083,MATRIZ,ESCOTTA CONSULTORIA LTDA,NAO,200000,BIGORRILHO,CURITIBA
416,25285557000147,25285557,MATRIZ,ROBOTIMIZE LTDA,SIM,88000,XAXIM,CURITIBA
418,25341444000111,25341444,MATRIZ,CORE SOLUTIONS - AUTOMACAO TECNOLOGICA LTDA,SIM,13000,JUVEVE,CURITIBA
424,26181064000120,26181064,MATRIZ,MAPA SA - CONSULTORIA E ANALISES SOCIOAMBIENTAIS LTDA,SIM,10000,HEDY,LONDRINA
425,26214713000141,26214713,MATRIZ,N&J PARTNERS CONSULTORIA E SERVICOS EM INFORMATICA LTDA,NAO,10000,AGUA VERDE,CURITIBA
439,26960108000110,26960108,MATRIZ,OPENCONNECT SISTEMAS DE INFORMACAO E TECNOLOGIA LTDA,SIM,10000,SAO BRAZ,CURITIBA
441,27090363000111,27090363,MATRIZ,ZERO TI TECNOLOGIA DA INFORMACAO LTDA,SIM,101010,BIGORRILHO,CURITIBA
448,27456547000152,27456547,MATRIZ,SEO EXPERTS CONSULTORIA EM TECNOLOGIA DA INFORMATICA EIRELI,SIM,93700,FANNY,CURITIBA
451,27649569000139,27649569,MATRIZ,H. DE PAULA SOUZA JUNIOR - CONSULTORIA EM INFORMATICA,SIM,10000,CAJURU,CURITIBA
452,27667548000146,27667548,MATRIZ,HS2 SERVICOS E SOLUCOES DE INFORMATICA LTDA,NAO,100000,PRADO VELHO,CURITIBA
460,28082914000168,28082914,MATRIZ,RAVAGLIO E SAAB TECNOLOGIA E GESTAO LTDA,SIM,10000,CABRAL,CURITIBA
482,29309746000163,29309746,MATRIZ,GO4 TECNOLOGIA DA INFORMACAO LTDA,SIM,960000,CENTRO,CURITIBA
483,29432024000100,29432024,MATRIZ,ITRK TECNOLOGIA DA INFORMACAO LTDA,SIM,60000,JARDIM DAS AMERICAS,CURITIBA
484,29472136000186,29472136,MATRIZ,IT+ GESTAO E TECNOLOGIA - EIRELI,SIM,93700,BATEL,CURITIBA
487,29636554000161,29636554,MATRIZ,GILGRID APLICATIVOS LTDA,SIM,96000,CRISTO REI,CURITIBA
494,29814528000186,29814528,MATRIZ,P2P BUSINESS SOLUTIONS - EIRELI,SIM,100000,XAXIM,CURITIBA
504,30033125000189,30033125,MATRIZ,HC CONSULTORIA EM TECNOLOGIA LTDA,SIM,10000,CAMPINA DO SIQUEIRA,CURITIBA
511,30281605000169,30281605,MATRIZ,RALTEC TECNOLOGIA DA INFORMACAO LTDA,SIM,30000,AGUA VERDE,CURITIBA
515,30351627000158,30351627,MATRIZ,RAFAEL DA LUZ VAZ - COMERCIO E CONSULTORIA TECNOLOGIA EIRELI,SIM,95400,SITIO CERCADO,CURITIBA
516,30517691000166,30517691,MATRIZ,LUCIANO JOHNSON CONSULTORIA EM TI,SIM,10000,JARDIM DAS AMERICAS,CURITIBA
530,31079657000110,31079657,MATRIZ,HI-LAW CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,SIM,10000,BATEL,CURITIBA
534,31160141000103,31160141,MATRIZ,LOGLOG TECNOLOGIA LTDA,NAO,10000,ALTO DA RUA XV,CURITIBA
535,31168095000180,31168095,MATRIZ,BIM START SERVICOS TECNOLOGICOS LTDA.,NAO,15000,CENTRO,CURITIBA
537,31264122000119,31264122,MATRIZ,VEXPRO SOLUCOES EM TECNOLOGIA LTDA,NAO,20000,AGUA VERDE,CURITIBA
555,32177085000174,32177085,MATRIZ,ATDM CONSULTORIA EMPRESARIAL LTDA,NAO,95400,MOSSUNGUE,CURITIBA
556,32214357000169,32214357,MATRIZ,DATABZNESS CONSULTORIA EM TI LTDA,SIM,10000,VILA IZABEL,CURITIBA
563,32494446000106,32494446,MATRIZ,SENSO ESTRATEGIA MULTI CANAIS S.A.,NAO,200000,ALTO DA RUA XV,CURITIBA
570,33041999000176,33041999,MATRIZ,NETPROJ CONSULTORIA E ASSESSORIA PARA TRANSFORMACAO DIGITAL INTELIGENTE LTDA,SIM,90000,GUABIROTUBA,CURITIBA
576,33332029000120,33332029,MATRIZ,INTERGALAXY HOLDINGS SA,NAO,12575391,CAMPO COMPRIDO,CURITIBA
578,33427638000162,33427638,MATRIZ,LB CONSULTORIA EM TI EIRELI,NAO,100000,JARDIM HIGIENOPOLIS,LONDRINA
586,33808438000150,33808438,MATRIZ,METODO IT TREINAMENTOS E SERVICOS DE INFORMATICA LTDA,SIM,20000,REBOUCAS,CURITIBA
617,35140820000163,35140820,MATRIZ,COINOVAC CONSULTORIA EM INFORMATICA LTDA,NAO,20000,CENTRO CIVICO,CURITIBA
624,35417709000171,35417709,MATRIZ,BINSTORM CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,SIM,30000,JARDIM HONDA 2,LONDRINA
626,35486795000174,35486795,MATRIZ,A2CORP CONSULTORIA E EVENTOS EIRELI,SIM,99800,SAN REMO,LONDRINA
627,35585732000175,35585732,MATRIZ,DEX IT SOLUCOES EM TECNOLOGIA DA INFORMACAO LTDA,SIM,30000,SANTA CANDIDA,CURITIBA
629,35630160000107,35630160,MATRIZ,BIM START SERVICOS TECNOLOGICOS LTDA - SCP,NAO,335000,CENTRO,CURITIBA
632,35749625000135,35749625,MATRIZ,CONCAT ALL - SERVICOS EM TECNOLOGIA DA INFORMACAO LTDA,SIM,10000,CAPAO DA IMBUIA,CURITIBA
640,36260526000158,36260526,MATRIZ,JOY SOLUCOES E TECNOLOGIA LTDA,SIM,50000,BOQUEIRAO,CURITIBA
641,36325775000184,36325775,MATRIZ,MAX SISTEMAS DE INFORMATICA E CONSULTORIA FINANCEIRA LTDA,NAO,100000,CIDADE INDUSTRIAL,CURITIBA
643,36353517000101,36353517,MATRIZ,ABRANTECK TI SOLUCOES EMPRESARIAIS LTDA,SIM,10000,CAJURU,CURITIBA
647,36467291000170,36467291,MATRIZ,TK TECHNOLOGIES CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,NAO,10000,ALTO DA RUA XV,CURITIBA
648,36474896000198,36474896,MATRIZ,JONAS TERTULIANO DOS SANTOS EIRELI,SIM,104500,CENTRO,CURITIBA
663,36869780000158,36869780,MATRIZ,TAG TECNOLOGIA EM GESTAO DE PAGAMENTOS S/A,NAO,500000,CENTRO CIVICO,CURITIBA
679,37557582000111,37557582,MATRIZ,MOTTA E MOTTA SERVICOS DE TECNOLOGIA E CONSULTORIA LTDA,SIM,228000,JARDIM LONDRILAR,LONDRINA
681,37650364000127,37650364,MATRIZ,PRIMORDIALL TECNOLOGIA & NEGOCIOS LTDA,NAO,30000,GLEBA FAZENDA PALHANO,LONDRINA
692,38235218000106,38235218,MATRIZ,RICARDO SANTOS CONSULTORIA EM SOFTWARE LTDA.,NAO,10000,JUVEVE,CURITIBA
700,39233445000157,39233445,MATRIZ,I HUMAN TECNOLOGIA CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,NAO,100000,CENTRO CIVICO,CURITIBA
702,39355783000161,39355783,MATRIZ,BERGOLD TECH CONSULTORIA EIRELI,SIM,200000,CAJURU,CURITIBA
705,39469328000197,39469328,MATRIZ,MIVA TECNOLOGIA LTDA,SIM,20000,PILARZINHO,CURITIBA
735,40877677000127,40877677,MATRIZ,"CARDOSO PEREIRA & SOFIA BAPTISTA - TECNOLOGIAS DA INFORMACAO, LDA DO BRASIL",NAO,30000,AGUA VERDE,CURITIBA
739,40942231000139,40942231,MATRIZ,VELVET DESENVOLVIMENTO DE SOFTWARE LTDA,SIM,20000,JUVEVE,CURITIBA
748,41273734000121,41273734,MATRIZ,HD DEVFORCE LTDA,SIM,10000,CENTRO,CURITIBA
749,41368252000155,41368252,MATRIZ,REVIRAVOLTA LOCAL COMUNICACAO E TECNOLOGIA LTDA.,SIM,10000,HUGO LANGE,CURITIBA
751,41418108000186,41418108,MATRIZ,IGREE SIGN INFORMATICA LTDA,NAO,10000,AGUA VERDE,CURITIBA
759,79636379000180,79636379,MATRIZ,SOFT ONE CONSULTORIA EM TECNOLOGIA DA INFORMACAO EIRELI,NAO,565320,JARDIM DAS AMERICAS,CURITIBA
761,80005374000139,80005374,MATRIZ,DWM CONSULTORIA LTDA,NAO,10000,CAJURU,CURITIBA
763,80921489000173,80921489,MATRIZ,MAPTRIZ CONSULTORIA E TECNOLOGIA LTDA,SIM,500000,CENTRO,LONDRINA
765,81236770000130,81236770,MATRIZ,ESFERA INFORMATICA EIRELI,NAO,100000,ALTO DA RUA XV,CURITIBA
770,85049070000197,85049070,MATRIZ,PRODIGIT SISTEMAS DE INFORMATICA LTDA.,NAO,60000,SAO FRANCISCO,CURITIBA
